Algorithm,Topology,Graph Type,Degree,# of Runs,Avg Time (s),Avg Qubits,Avg Maxchain Size,Avg Fail/No Fail
Busclique,Chimera,Complete,0,4,0.01019,0,1,1
Busclique,Chimera,Complete,1,4,0.00482,1,2,0
Busclique,Chimera,Complete,2,4,0.004465,1,6,0
Busclique,Chimera,Complete,3,4,0.004081,2,8,0
Busclique,Chimera,Complete,4,4,0.004087,2,15,0
Busclique,Chimera,Complete,5,4,0.004483,3,18,0
Busclique,Chimera,Complete,6,4,0.004193,3,21,0
Busclique,Chimera,Complete,7,4,0.006047,3,24,0
Busclique,Chimera,Complete,8,4,0.003979,3,36,0
Busclique,Chimera,Complete,9,4,0.004373,4,40,0
Busclique,Chimera,Complete,10,4,0.005917,4,44,0
Busclique,Chimera,Complete,11,4,0.004028,4,48,0
Busclique,Chimera,Complete,12,4,0.004092,4,65,0
Busclique,Chimera,Complete,13,4,0.004739,5,70,0
Busclique,Chimera,Complete,14,4,0.003628,5,75,0
Busclique,Chimera,Complete,15,4,0.003858,5,80,0
Busclique,Chimera,Complete,16,4,0.003665,5,102,0
Busclique,Chimera,Complete,17,4,0.003764,6,108,0
Busclique,Chimera,Complete,18,4,0.003843,6,114,0
Busclique,Chimera,Complete,19,4,0.004877,6,120,0
Busclique,Chimera,Complete,20,4,0.004995,6,147,0
Busclique,Chimera,Complete,21,4,0.004735,7,154,0
Busclique,Chimera,Complete,22,4,0.004681,7,161,0
Busclique,Chimera,Complete,23,4,0.004897,7,168,0
Busclique,Chimera,Complete,24,4,0.004084,7,200,0
Busclique,Chimera,Complete,25,4,0.004918,8,208,0
Busclique,Chimera,Complete,26,4,0.004307,8,216,0
Busclique,Chimera,Complete,27,4,0.004945,8,224,0
Busclique,Chimera,Complete,28,4,0.003968,8,261,0
Busclique,Chimera,Complete,29,4,0.005022,9,270,0
Busclique,Chimera,Complete,30,4,0.005739,9,279,0
Busclique,Chimera,Complete,31,4,0.004958,9,288,0
Busclique,Chimera,Complete,32,4,0.003654,9,330,0
Busclique,Chimera,Complete,33,4,0.003881,10,340,0
Busclique,Chimera,Complete,34,4,0.004924,10,350,0
Busclique,Chimera,Complete,35,4,0.003925,10,360,0
Busclique,Chimera,Complete,36,4,0.005203,10,407,0
Busclique,Chimera,Complete,37,4,0.005158,11,418,0
Busclique,Chimera,Complete,38,4,0.004903,11,429,0
Busclique,Chimera,Complete,39,4,0.00704,11,440,0
Busclique,Chimera,Complete,40,4,0.005075,11,492,0
Busclique,Chimera,Complete,41,4,0.004004,12,504,0
Busclique,Chimera,Complete,42,4,0.003914,12,516,0
Busclique,Chimera,Complete,43,4,0.004932,12,528,0
Busclique,Chimera,Complete,44,4,0.005601,12,585,0
Busclique,Chimera,Complete,45,4,0.004405,13,598,0
Busclique,Chimera,Complete,46,4,0.004249,13,611,0
Busclique,Chimera,Complete,47,4,0.005121,13,624,0
Busclique,Chimera,Complete,48,4,0.004121,13,686,0
Busclique,Chimera,Complete,49,4,0.003954,14,700,0
Busclique,Chimera,Complete,50,4,0.00478,14,714,0
Busclique,Chimera,Complete,51,4,0.005093,14,728,0
Busclique,Chimera,Complete,52,4,0.005095,14,795,0
Busclique,Chimera,Complete,53,4,0.004011,15,810,0
Busclique,Chimera,Complete,54,4,0.004913,15,825,0
Busclique,Chimera,Complete,55,4,0.006967,15,840,0
Busclique,Chimera,Complete,56,4,0.004902,15,912,0
Busclique,Chimera,Complete,57,4,0.00423,16,928,0
Busclique,Chimera,Complete,58,4,0.004387,16,944,0
Busclique,Chimera,Complete,59,4,0.008948,16,960,0
Busclique,Pegasus,Complete,0,4,0.056659,0,1,1
Busclique,Pegasus,Complete,1,4,0.066248,1,2,0
Busclique,Pegasus,Complete,2,4,0.053045,1,3,0
Busclique,Pegasus,Complete,3,4,0.049752,1,4,0
Busclique,Pegasus,Complete,4,4,0.051642,1,10,0
Busclique,Pegasus,Complete,5,4,0.05344,2,12,0
Busclique,Pegasus,Complete,6,4,0.053105,2,14,0
Busclique,Pegasus,Complete,7,4,0.064137,2,16,0
Busclique,Pegasus,Complete,8,4,0.04991,2,18,0
Busclique,Pegasus,Complete,9,4,0.056024,2,20,0
Busclique,Pegasus,Complete,10,4,0.06415,2,33,0
Busclique,Pegasus,Complete,11,4,0.053564,3,36,0
Busclique,Pegasus,Complete,12,4,0.055041,3,39,0
Busclique,Pegasus,Complete,13,4,0.063747,3,42,0
Busclique,Pegasus,Complete,14,4,0.051768,3,45,0
Busclique,Pegasus,Complete,15,4,0.045565,3,48,0
Busclique,Pegasus,Complete,16,4,0.044039,3,51,0
Busclique,Pegasus,Complete,17,4,0.048674,3,54,0
Busclique,Pegasus,Complete,18,4,0.045273,3,57,0
Busclique,Pegasus,Complete,19,4,0.045842,3,60,0
Busclique,Pegasus,Complete,20,4,0.048182,3,80,0
Busclique,Pegasus,Complete,21,4,0.048679,4,84,0
Busclique,Pegasus,Complete,22,4,0.0488,4,87,0
Busclique,Pegasus,Complete,23,4,0.050734,4,90,0
Busclique,Pegasus,Complete,24,4,0.049068,4,94,0
Busclique,Pegasus,Complete,25,4,0.048087,4,98,0
Busclique,Pegasus,Complete,26,4,0.075098,4,102,0
Busclique,Pegasus,Complete,27,4,0.046396,4,106,0
Busclique,Pegasus,Complete,28,4,0.048476,4,110,0
Busclique,Pegasus,Complete,29,4,0.047459,4,114,0
Busclique,Pegasus,Complete,30,4,0.047051,4,150,0
Busclique,Pegasus,Complete,31,4,0.043588,5,154,0
Busclique,Pegasus,Complete,32,4,0.049502,5,159,0
Busclique,Pegasus,Complete,33,4,0.049387,5,164,0
Busclique,Pegasus,Complete,34,4,0.0485,5,168,0
Busclique,Pegasus,Complete,35,4,0.046963,5,172,0
Busclique,Pegasus,Complete,36,4,0.051888,5,177,0
Busclique,Pegasus,Complete,37,4,0.047527,5,182,0
Busclique,Pegasus,Complete,38,4,0.046234,5,187,0
Busclique,Pegasus,Complete,39,4,0.060902,5,192,0
Busclique,Pegasus,Complete,40,4,0.050902,5,197,0
Busclique,Pegasus,Complete,41,4,0.051985,5,202,0
Busclique,Pegasus,Complete,42,4,0.054363,5,251,0
Busclique,Pegasus,Complete,43,4,0.049009,6,256,0
Busclique,Pegasus,Complete,44,4,0.056225,6,262,0
Busclique,Pegasus,Complete,45,4,0.055953,6,268,0
Busclique,Pegasus,Complete,46,4,0.053296,6,273,0
Busclique,Pegasus,Complete,47,4,0.048924,6,278,0
Busclique,Pegasus,Complete,48,4,0.048546,6,284,0
Busclique,Pegasus,Complete,49,4,0.04864,6,290,0
