Algorithm,Topology,Node Yield,Graph Type,Degree,Run #,Time (s),Qubits,Maxchain Size,Fail/No Fail
Minorminer,Zephyr,1.00,Complete,60,0,37.405141,382,9,0.0
Minorminer,Zephyr,1.00,Complete,60,1,47.587974,380,9,0.0
Minorminer,Zephyr,1.00,Complete,60,2,63.40607799999998,387,9,0.0
Minorminer,Zephyr,1.00,Complete,60,3,77.56018899999998,359,8,0.0
Minorminer,Zephyr,1.00,Complete,60,4,16.135958999999957,402,10,0.0
Minorminer,Zephyr,1.00,Complete,60,5,51.08310300000005,381,9,0.0
Minorminer,Zephyr,1.00,Complete,60,6,28.355080000000044,398,10,0.0
Minorminer,Zephyr,1.00,Complete,60,7,32.488190999999915,421,10,0.0
Minorminer,Zephyr,1.00,Complete,60,8,39.83163999999988,401,10,0.0
Minorminer,Zephyr,1.00,Complete,60,9,15.069345999999996,407,11,0.0
Layout Aware [Migration],Zephyr,1.00,Complete,60,0,74.741074,384,9,0.0
Layout Aware [Migration],Zephyr,1.00,Complete,60,1,58.366105000000005,395,9,0.0
Layout Aware [Migration],Zephyr,1.00,Complete,60,2,78.92314400000004,343,8,0.0
Layout Aware [Migration],Zephyr,1.00,Complete,60,3,63.89423399999998,397,9,0.0
Layout Aware [Migration],Zephyr,1.00,Complete,60,4,38.356318999999985,399,10,0.0
Layout Aware [Migration],Zephyr,1.00,Complete,60,5,35.75502600000004,396,10,0.0
Layout Aware [Migration],Zephyr,1.00,Complete,60,6,34.875403000000006,381,9,0.0
Layout Aware [Migration],Zephyr,1.00,Complete,60,7,87.96695599999998,369,8,0.0
Layout Aware [Migration],Zephyr,1.00,Complete,60,8,62.15255500000012,386,10,0.0
Layout Aware [Migration],Zephyr,1.00,Complete,60,9,43.829479999999876,362,8,0.0
Layout Aware [No Migration],Zephyr,1.00,Complete,60,0,58.25170800000001,368,9,0.0
Layout Aware [No Migration],Zephyr,1.00,Complete,60,1,31.810584000000006,388,10,0.0
Layout Aware [No Migration],Zephyr,1.00,Complete,60,2,38.65128199999998,357,9,0.0
Layout Aware [No Migration],Zephyr,1.00,Complete,60,3,98.49727500000006,380,9,0.0
Layout Aware [No Migration],Zephyr,1.00,Complete,60,4,37.299124000000006,390,9,0.0
Layout Aware [No Migration],Zephyr,1.00,Complete,60,5,112.57196399999998,356,8,0.0
Layout Aware [No Migration],Zephyr,1.00,Complete,60,6,70.25964500000009,370,9,0.0
Layout Aware [No Migration],Zephyr,1.00,Complete,60,7,135.64651400000002,350,8,0.0
Layout Aware [No Migration],Zephyr,1.00,Complete,60,8,24.29103199999986,394,10,0.0
Layout Aware [No Migration],Zephyr,1.00,Complete,60,9,74.87114100000008,365,8,0.0
Minorminer,Zephyr,0.90,Complete,60,0,31.377418999999918,484,13,0.0
Minorminer,Zephyr,0.90,Complete,60,1,87.37788300000011,462,11,0.0
Minorminer,Zephyr,0.90,Complete,60,2,79.5014900000001,427,10,0.0
Minorminer,Zephyr,0.90,Complete,60,3,41.69088899999997,444,11,0.0
Minorminer,Zephyr,0.90,Complete,60,4,77.35083699999996,487,12,0.0
Minorminer,Zephyr,0.90,Complete,60,5,42.07622999999967,470,11,0.0
Minorminer,Zephyr,0.90,Complete,60,6,43.96831400000019,462,12,0.0
Minorminer,Zephyr,0.90,Complete,60,7,139.9580689999998,444,10,0.0
Minorminer,Zephyr,0.90,Complete,60,8,117.6409120000003,443,10,0.0
Minorminer,Zephyr,0.90,Complete,60,9,55.96286599999985,422,11,0.0
Layout Aware [Migration],Zephyr,0.90,Complete,60,0,79.44115499999998,448,11,0.0
Layout Aware [Migration],Zephyr,0.90,Complete,60,1,56.58029099999999,431,10,0.0
Layout Aware [Migration],Zephyr,0.90,Complete,60,2,58.25904599999967,448,11,0.0
Layout Aware [Migration],Zephyr,0.90,Complete,60,3,44.09155299999975,439,11,0.0
Layout Aware [Migration],Zephyr,0.90,Complete,60,4,59.26324900000009,464,12,0.0
Layout Aware [Migration],Zephyr,0.90,Complete,60,5,66.9509850000004,480,12,0.0
