Algorithm,Topology,Node Yield,Graph Type,Degree,Run #,Time (s),Qubits,Maxchain Size,Fail/No Fail
Minorminer,Zephyr,1,Complete,60,0,57.443272,367,9,0
Minorminer,Zephyr,1,Complete,60,1,33.96228,380,9,0
Minorminer,Zephyr,1,Complete,60,2,39.224551,392,9,0
Minorminer,Zephyr,1,Complete,60,3,51.903918,362,9,0
Minorminer,Zephyr,1,Complete,60,4,40.487358,367,9,0
Minorminer,Zephyr,1,Complete,60,5,41.000061,385,9,0
Minorminer,Zephyr,1,Complete,60,6,22.429212,383,9,0
Minorminer,Zephyr,1,Complete,60,7,63.497807,363,9,0
Minorminer,Zephyr,1,Complete,60,8,56.51986,397,9,0
Minorminer,Zephyr,1,Complete,60,9,64.409946,386,9,0
Layout Aware [Migration],Zephyr,1,Complete,60,0,39.814088,378,9,0
Layout Aware [Migration],Zephyr,1,Complete,60,1,20.544875,437,11,0
Layout Aware [Migration],Zephyr,1,Complete,60,2,80.731714,407,9,0
Layout Aware [Migration],Zephyr,1,Complete,60,3,21.468924,421,11,0
Layout Aware [Migration],Zephyr,1,Complete,60,4,45.929659,378,9,0
Layout Aware [Migration],Zephyr,1,Complete,60,5,65.448292,374,8,0
Layout Aware [Migration],Zephyr,1,Complete,60,6,38.026745,377,10,0
Layout Aware [Migration],Zephyr,1,Complete,60,7,68.984503,364,9,0
Layout Aware [Migration],Zephyr,1,Complete,60,8,34.903633,361,8,0
Layout Aware [Migration],Zephyr,1,Complete,60,9,44.498268,374,10,0
Layout Aware [No Migration],Zephyr,1,Complete,60,0,43.537952,381,9,0
Layout Aware [No Migration],Zephyr,1,Complete,60,1,84.33232,392,9,0
Layout Aware [No Migration],Zephyr,1,Complete,60,2,49.206058,365,8,0
Layout Aware [No Migration],Zephyr,1,Complete,60,3,37.801696,393,9,0
Layout Aware [No Migration],Zephyr,1,Complete,60,4,97.282391,359,8,0
Layout Aware [No Migration],Zephyr,1,Complete,60,5,50.243629,382,8,0
Layout Aware [No Migration],Zephyr,1,Complete,60,6,32.375093,374,9,0
Layout Aware [No Migration],Zephyr,1,Complete,60,7,28.95052,427,10,0
Layout Aware [No Migration],Zephyr,1,Complete,60,8,78.353585,378,9,0
Layout Aware [No Migration],Zephyr,1,Complete,60,9,60.401745,358,8,0
Minorminer,Zephyr,0.9,Complete,60,0,99.418763,441,10,0
Minorminer,Zephyr,0.9,Complete,60,1,49.397071,413,10,0
Minorminer,Zephyr,0.9,Complete,60,2,36.001294,455,11,0
Minorminer,Zephyr,0.9,Complete,60,3,33.853645,458,11,0
Minorminer,Zephyr,0.9,Complete,60,4,24.151258,516,14,0
Minorminer,Zephyr,0.9,Complete,60,5,43.116342,508,13,0
Minorminer,Zephyr,0.9,Complete,60,6,58.746029,437,12,0
Minorminer,Zephyr,0.9,Complete,60,7,63.965577,470,11,0
Minorminer,Zephyr,0.9,Complete,60,8,158.469091,397,9,0
Minorminer,Zephyr,0.9,Complete,60,9,64.605675,471,12,0
Layout Aware [Migration],Zephyr,0.9,Complete,60,0,95.70556,434,10,0
Layout Aware [Migration],Zephyr,0.9,Complete,60,1,67.559875,429,10,0
Layout Aware [Migration],Zephyr,0.9,Complete,60,2,52.75993,446,11,0
Layout Aware [Migration],Zephyr,0.9,Complete,60,3,72.466466,482,12,0
Layout Aware [Migration],Zephyr,0.9,Complete,60,4,64.795726,439,11,0
Layout Aware [Migration],Zephyr,0.9,Complete,60,5,86.118472,433,10,0
Layout Aware [Migration],Zephyr,0.9,Complete,60,6,35.962323,483,12,0
Layout Aware [Migration],Zephyr,0.9,Complete,60,7,64.304727,451,11,0
Layout Aware [Migration],Zephyr,0.9,Complete,60,8,59.860325,418,10,0
Layout Aware [Migration],Zephyr,0.9,Complete,60,9,52.191005,484,12,0
Layout Aware [No Migration],Zephyr,0.9,Complete,60,0,77.205498,445,10,0
Layout Aware [No Migration],Zephyr,0.9,Complete,60,1,86.488189,456,11,0
Layout Aware [No Migration],Zephyr,0.9,Complete,60,2,41.817125,529,13,0
Layout Aware [No Migration],Zephyr,0.9,Complete,60,3,37.689384,424,10,0
Layout Aware [No Migration],Zephyr,0.9,Complete,60,4,44.39618,435,11,0
Layout Aware [No Migration],Zephyr,0.9,Complete,60,5,45.271214,473,11,0
Layout Aware [No Migration],Zephyr,0.9,Complete,60,6,65.435791,434,11,0
Layout Aware [No Migration],Zephyr,0.9,Complete,60,7,47.869325,482,12,0
Layout Aware [No Migration],Zephyr,0.9,Complete,60,8,49.769193,469,11,0
Layout Aware [No Migration],Zephyr,0.9,Complete,60,9,35.045435,488,12,0
Minorminer,Zephyr,0.8,Complete,60,0,154.242535,719,17,0
Minorminer,Zephyr,0.8,Complete,60,1,85.423136,776,19,0
Minorminer,Zephyr,0.8,Complete,60,2,73.238801,692,16,0
Minorminer,Zephyr,0.8,Complete,60,3,98.729886,774,18,0
Minorminer,Zephyr,0.8,Complete,60,4,95.755971,856,21,0
Minorminer,Zephyr,0.8,Complete,60,5,200.602897,760,19,0
Minorminer,Zephyr,0.8,Complete,60,6,67.874679,793,22,0
Minorminer,Zephyr,0.8,Complete,60,7,145.009916,698,16,0
Minorminer,Zephyr,0.8,Complete,60,8,84.405209,902,23,0
Minorminer,Zephyr,0.8,Complete,60,9,86.219852,809,21,0
Layout Aware [Migration],Zephyr,0.8,Complete,60,0,147.847723,787,20,0
Layout Aware [Migration],Zephyr,0.8,Complete,60,1,136.397598,744,19,0
Layout Aware [Migration],Zephyr,0.8,Complete,60,2,81.762058,911,23,0
Layout Aware [Migration],Zephyr,0.8,Complete,60,3,79.908452,875,21,0
Layout Aware [Migration],Zephyr,0.8,Complete,60,4,114.855262,801,19,0
Layout Aware [Migration],Zephyr,0.8,Complete,60,5,100.541082,887,23,0
Layout Aware [Migration],Zephyr,0.8,Complete,60,6,96.518527,784,20,0
Layout Aware [Migration],Zephyr,0.8,Complete,60,7,145.246701,722,19,0
Layout Aware [Migration],Zephyr,0.8,Complete,60,8,86.409499,869,20,0
Layout Aware [Migration],Zephyr,0.8,Complete,60,9,114.896415,806,19,0
Layout Aware [No Migration],Zephyr,0.8,Complete,60,0,180.248826,794,18,0
Layout Aware [No Migration],Zephyr,0.8,Complete,60,1,71.200073,957,23,0
Layout Aware [No Migration],Zephyr,0.8,Complete,60,2,209.127555,721,18,0
Layout Aware [No Migration],Zephyr,0.8,Complete,60,3,67.840473,769,20,0
Layout Aware [No Migration],Zephyr,0.8,Complete,60,4,116.67027,723,17,0
Layout Aware [No Migration],Zephyr,0.8,Complete,60,5,200.142012,761,21,0
Layout Aware [No Migration],Zephyr,0.8,Complete,60,6,117.018806,869,22,0
Layout Aware [No Migration],Zephyr,0.8,Complete,60,7,118.192666,698,17,0
Layout Aware [No Migration],Zephyr,0.8,Complete,60,8,117.906853,776,18,0
Layout Aware [No Migration],Zephyr,0.8,Complete,60,9,117.370822,812,21,0
Minorminer,Zephyr,0.7,Complete,60,0,248.580404,0,0,1
Minorminer,Zephyr,0.7,Complete,60,1,299.337839,0,0,1
Minorminer,Zephyr,0.7,Complete,60,2,229.836501,0,0,1
Minorminer,Zephyr,0.7,Complete,60,3,223.73521,0,0,1
Minorminer,Zephyr,0.7,Complete,60,4,258.658661,0,0,1
Minorminer,Zephyr,0.7,Complete,60,5,276.583386,0,0,1
Minorminer,Zephyr,0.7,Complete,60,6,242.234292,0,0,1
Minorminer,Zephyr,0.7,Complete,60,7,237.892054,0,0,1
Minorminer,Zephyr,0.7,Complete,60,8,254.818655,0,0,1
Minorminer,Zephyr,0.7,Complete,60,9,252.482935,0,0,1
Layout Aware [Migration],Zephyr,0.7,Complete,60,0,251.885465,0,0,1
Layout Aware [Migration],Zephyr,0.7,Complete,60,1,265.440781,0,0,1
Layout Aware [Migration],Zephyr,0.7,Complete,60,2,296.314806,0,0,1
Layout Aware [Migration],Zephyr,0.7,Complete,60,3,280.377952,0,0,1
Layout Aware [Migration],Zephyr,0.7,Complete,60,4,272.193987,0,0,1
Layout Aware [Migration],Zephyr,0.7,Complete,60,5,275.488188,0,0,1
Layout Aware [Migration],Zephyr,0.7,Complete,60,6,283.57847,0,0,1
Layout Aware [Migration],Zephyr,0.7,Complete,60,7,276.896815,0,0,1
Layout Aware [Migration],Zephyr,0.7,Complete,60,8,275.281289,0,0,1
Layout Aware [Migration],Zephyr,0.7,Complete,60,9,281.500674,0,0,1
Layout Aware [No Migration],Zephyr,0.7,Complete,60,0,257.907107,0,0,1
Layout Aware [No Migration],Zephyr,0.7,Complete,60,1,282.927435,0,0,1
Layout Aware [No Migration],Zephyr,0.7,Complete,60,2,342.973508,0,0,1
Layout Aware [No Migration],Zephyr,0.7,Complete,60,3,341.94077,0,0,1
Layout Aware [No Migration],Zephyr,0.7,Complete,60,4,305.904031,0,0,1
Layout Aware [No Migration],Zephyr,0.7,Complete,60,5,250.177676,0,0,1
Layout Aware [No Migration],Zephyr,0.7,Complete,60,6,294.036058,0,0,1
Layout Aware [No Migration],Zephyr,0.7,Complete,60,7,314.131304,0,0,1
Layout Aware [No Migration],Zephyr,0.7,Complete,60,8,327.637698,0,0,1
Layout Aware [No Migration],Zephyr,0.7,Complete,60,9,295.985005,0,0,1
Minorminer,Zephyr,0.6,Complete,60,0,118.957381,1202,29,0
Minorminer,Zephyr,0.6,Complete,60,1,180.983528,1226,31,0
Minorminer,Zephyr,0.6,Complete,60,2,180.34882,1153,26,0
Minorminer,Zephyr,0.6,Complete,60,3,94.190374,1479,38,0
Minorminer,Zephyr,0.6,Complete,60,4,117.461583,1301,31,0
Minorminer,Zephyr,0.6,Complete,60,5,196.503587,1324,29,0
Minorminer,Zephyr,0.6,Complete,60,6,155.111027,1245,29,0
Minorminer,Zephyr,0.6,Complete,60,7,126.181865,1268,31,0
Minorminer,Zephyr,0.6,Complete,60,8,320.163285,1173,27,0
Minorminer,Zephyr,0.6,Complete,60,9,173.213394,1312,35,0
Layout Aware [Migration],Zephyr,0.6,Complete,60,0,184.566883,1184,29,0
Layout Aware [Migration],Zephyr,0.6,Complete,60,1,110.745048,1304,31,0
Layout Aware [Migration],Zephyr,0.6,Complete,60,2,106.133775,1505,36,0
Layout Aware [Migration],Zephyr,0.6,Complete,60,3,212.252104,1136,26,0
Layout Aware [Migration],Zephyr,0.6,Complete,60,4,114.369477,1459,35,0
Layout Aware [Migration],Zephyr,0.6,Complete,60,5,163.826671,1254,31,0
Layout Aware [Migration],Zephyr,0.6,Complete,60,6,173.19708,1300,31,0
Layout Aware [Migration],Zephyr,0.6,Complete,60,7,172.930072,1164,27,0
Layout Aware [Migration],Zephyr,0.6,Complete,60,8,164.548401,1356,32,0
Layout Aware [Migration],Zephyr,0.6,Complete,60,9,230.268843,1215,29,0
Layout Aware [No Migration],Zephyr,0.6,Complete,60,0,62.56158,1578,39,0
Layout Aware [No Migration],Zephyr,0.6,Complete,60,1,152.992482,1315,32,0
Layout Aware [No Migration],Zephyr,0.6,Complete,60,2,164.52698,1288,29,0
Layout Aware [No Migration],Zephyr,0.6,Complete,60,3,128.55001,1306,30,0
Layout Aware [No Migration],Zephyr,0.6,Complete,60,4,86.317807,1430,38,0
Layout Aware [No Migration],Zephyr,0.6,Complete,60,5,170.05029,1250,30,0
Layout Aware [No Migration],Zephyr,0.6,Complete,60,6,122.329434,1336,31,0
Layout Aware [No Migration],Zephyr,0.6,Complete,60,7,269.754667,1202,27,0
Layout Aware [No Migration],Zephyr,0.6,Complete,60,8,144.523908,1179,30,0
Layout Aware [No Migration],Zephyr,0.6,Complete,60,9,129.614076,1427,34,0
Minorminer,Zephyr,0.8,Complete,60,0,59.279063,552,13,0
Minorminer,Zephyr,0.8,Complete,60,1,67.040947,589,14,0
Minorminer,Zephyr,0.8,Complete,60,2,56.443293,634,16,0
Minorminer,Zephyr,0.8,Complete,60,3,39.235215,563,14,0
Minorminer,Zephyr,0.8,Complete,60,4,32.052565,637,18,0
Minorminer,Zephyr,0.8,Complete,60,5,51.5007,620,16,0
Minorminer,Zephyr,0.8,Complete,60,6,135.205845,549,13,0
Minorminer,Zephyr,0.8,Complete,60,7,116.365848,565,13,0
Minorminer,Zephyr,0.8,Complete,60,8,116.080062,508,12,0
Minorminer,Zephyr,0.8,Complete,60,9,56.826058,516,12,0
Layout Aware [Migration],Zephyr,0.8,Complete,60,0,69.260903,550,15,0
Layout Aware [Migration],Zephyr,0.8,Complete,60,1,82.063175,601,16,0
Layout Aware [Migration],Zephyr,0.8,Complete,60,2,128.428602,532,13,0
Layout Aware [Migration],Zephyr,0.8,Complete,60,3,70.675998,549,14,0
Layout Aware [Migration],Zephyr,0.8,Complete,60,4,111.518436,530,14,0
Layout Aware [Migration],Zephyr,0.8,Complete,60,5,77.782577,555,13,0
Layout Aware [Migration],Zephyr,0.8,Complete,60,6,137.81014,557,14,0
Layout Aware [Migration],Zephyr,0.8,Complete,60,7,69.323271,559,14,0
Layout Aware [Migration],Zephyr,0.8,Complete,60,8,96.476702,601,14,0
Layout Aware [Migration],Zephyr,0.8,Complete,60,9,109.579726,578,15,0
Layout Aware [No Migration],Zephyr,0.8,Complete,60,0,77.147921,569,14,0
Layout Aware [No Migration],Zephyr,0.8,Complete,60,1,97.401643,607,14,0
Layout Aware [No Migration],Zephyr,0.8,Complete,60,2,155.217106,530,12,0
Layout Aware [No Migration],Zephyr,0.8,Complete,60,3,79.141018,576,14,0
Layout Aware [No Migration],Zephyr,0.8,Complete,60,4,107.289663,584,14,0
Layout Aware [No Migration],Zephyr,0.8,Complete,60,5,86.73179,524,13,0
Layout Aware [No Migration],Zephyr,0.8,Complete,60,6,126.320353,595,15,0
Layout Aware [No Migration],Zephyr,0.8,Complete,60,7,136.942592,551,13,0
Layout Aware [No Migration],Zephyr,0.8,Complete,60,8,70.914313,591,14,0
Layout Aware [No Migration],Zephyr,0.8,Complete,60,9,56.743096,605,15,0
Minorminer,Zephyr,0.7,Complete,60,0,333.400646,0,0,1
Minorminer,Zephyr,0.7,Complete,60,1,455.404317,0,0,1
Minorminer,Zephyr,0.7,Complete,60,2,283.306629,0,0,1
Minorminer,Zephyr,0.7,Complete,60,3,349.970588,0,0,1
Minorminer,Zephyr,0.7,Complete,60,4,355.836156,0,0,1
Minorminer,Zephyr,0.7,Complete,60,5,370.117636,0,0,1
Minorminer,Zephyr,0.7,Complete,60,6,142.895959,2087,51,0
Minorminer,Zephyr,0.7,Complete,60,7,250.834567,0,0,1
Minorminer,Zephyr,0.7,Complete,60,8,265.622086,0,0,1
Minorminer,Zephyr,0.7,Complete,60,9,222.475721,1982,46,0
Layout Aware [Migration],Zephyr,0.7,Complete,60,0,406.145102,0,0,1
Layout Aware [Migration],Zephyr,0.7,Complete,60,1,539.737667,0,0,1
Layout Aware [Migration],Zephyr,0.7,Complete,60,2,408.863419,0,0,1
Layout Aware [Migration],Zephyr,0.7,Complete,60,3,395.016184,0,0,1
Layout Aware [Migration],Zephyr,0.7,Complete,60,4,421.584028,0,0,1
Layout Aware [Migration],Zephyr,0.7,Complete,60,5,393.521832,0,0,1
Layout Aware [Migration],Zephyr,0.7,Complete,60,6,522.429392,0,0,1
Layout Aware [Migration],Zephyr,0.7,Complete,60,7,414.358546,0,0,1
Layout Aware [Migration],Zephyr,0.7,Complete,60,8,428.229532,0,0,1
Layout Aware [Migration],Zephyr,0.7,Complete,60,9,387.616789,0,0,1
Layout Aware [No Migration],Zephyr,0.7,Complete,60,0,210.204656,1996,48,0
Layout Aware [No Migration],Zephyr,0.7,Complete,60,1,223.143806,2291,59,0
Layout Aware [No Migration],Zephyr,0.7,Complete,60,2,553.406276,0,0,1
Layout Aware [No Migration],Zephyr,0.7,Complete,60,3,232.520269,2041,51,0
Layout Aware [No Migration],Zephyr,0.7,Complete,60,4,443.099708,0,0,1
Layout Aware [No Migration],Zephyr,0.7,Complete,60,5,268.191015,2164,54,0
Layout Aware [No Migration],Zephyr,0.7,Complete,60,6,259.47526,2065,49,0
Layout Aware [No Migration],Zephyr,0.7,Complete,60,7,411.369501,0,0,1
Layout Aware [No Migration],Zephyr,0.7,Complete,60,8,469.136395,0,0,1
Layout Aware [No Migration],Zephyr,0.7,Complete,60,9,298.626456,1866,44,0
Minorminer,Zephyr,0.75,Complete,60,0,138.405316,687,17,0
Minorminer,Zephyr,0.75,Complete,60,1,65.301922,722,18,0
Minorminer,Zephyr,0.75,Complete,60,2,67.584571,717,19,0
Minorminer,Zephyr,0.75,Complete,60,3,146.667598,665,17,0
