Algorithm,Topology,Graph Type,Degree,Run #,Time (s),Qubits,Maxchain Size,Fail/No Fail
Busclique,Chimera,Complete,0,0,0.005806,0,0,1
Busclique,Chimera,Complete,0,1,0.003847,0,0,1
Busclique,Chimera,Complete,0,2,0.006931,0,0,1
Busclique,Chimera,Complete,0,3,0.003769,0,0,1
Busclique,Chimera,Complete,1,0,0.004145,1,1,0
Busclique,Chimera,Complete,1,1,0.003771,1,1,0
Busclique,Chimera,Complete,1,2,0.003737,1,1,0
Busclique,Chimera,Complete,1,3,0.00425,1,1,0
Busclique,Chimera,Complete,2,0,0.00604,1,2,0
Busclique,Chimera,Complete,2,1,0.004843,1,2,0
Busclique,Chimera,Complete,2,2,0.007317,1,2,0
Busclique,Chimera,Complete,2,3,0.006815,1,2,0
Busclique,Chimera,Complete,3,0,0.005301,2,6,0
Busclique,Chimera,Complete,3,1,0.003786,2,6,0
Busclique,Chimera,Complete,3,2,0.005449,2,6,0
Busclique,Chimera,Complete,3,3,0.003963,2,6,0
Busclique,Chimera,Complete,4,0,0.00497,2,8,0
Busclique,Chimera,Complete,4,1,0.003805,2,8,0
Busclique,Chimera,Complete,4,2,0.00387,2,8,0
Busclique,Chimera,Complete,4,3,0.00657,2,8,0
Busclique,Chimera,Complete,5,0,0.006163,3,15,0
Busclique,Chimera,Complete,5,1,0.00525,3,15,0
Busclique,Chimera,Complete,5,2,0.00389,3,15,0
Busclique,Chimera,Complete,5,3,0.003771,3,15,0
Busclique,Chimera,Complete,6,0,0.007023,3,18,0
Busclique,Chimera,Complete,6,1,0.003719,3,18,0
Busclique,Chimera,Complete,6,2,0.004062,3,18,0
Busclique,Chimera,Complete,6,3,0.004575,3,18,0
Busclique,Chimera,Complete,7,0,0.004121,3,21,0
Busclique,Chimera,Complete,7,1,0.003782,3,21,0
Busclique,Chimera,Complete,7,2,0.003917,3,21,0
Busclique,Chimera,Complete,7,3,0.005958,3,21,0
Busclique,Chimera,Complete,8,0,0.005433,3,24,0
Busclique,Chimera,Complete,8,1,0.003782,3,24,0
Busclique,Chimera,Complete,8,2,0.003684,3,24,0
Busclique,Chimera,Complete,8,3,0.00383,3,24,0
Busclique,Chimera,Complete,9,0,0.007188,4,36,0
Busclique,Chimera,Complete,9,1,0.004077,4,36,0
Busclique,Chimera,Complete,9,2,0.004937,4,36,0
Busclique,Chimera,Complete,9,3,0.005556,4,36,0
Busclique,Chimera,Complete,10,0,0.005715,4,40,0
Busclique,Chimera,Complete,10,1,0.003829,4,40,0
Busclique,Chimera,Complete,10,2,0.004394,4,40,0
Busclique,Chimera,Complete,10,3,0.005532,4,40,0
Busclique,Chimera,Complete,11,0,0.005298,4,44,0
Busclique,Chimera,Complete,11,1,0.005783,4,44,0
Busclique,Chimera,Complete,11,2,0.003832,4,44,0
Busclique,Chimera,Complete,11,3,0.004336,4,44,0
Busclique,Chimera,Complete,12,0,0.007373,4,48,0
Busclique,Chimera,Complete,12,1,0.003856,4,48,0
Busclique,Chimera,Complete,12,2,0.003864,4,48,0
