Algorithm,Topology,Graph Type,Degree,Run #,Time (s),Qubits,Maxchain Size,No Fail/Fail
Minorminer,Zephyr,Complete,0,0,0.00038995999999999996,0,0,1
Minorminer,Zephyr,Complete,0,1,3.5605000000000185e-05,0,0,1
Minorminer,Zephyr,Complete,0,2,2.590899999999974e-05,0,0,1
Minorminer,Zephyr,Complete,5,0,0.095680739,6,2,0
Minorminer,Zephyr,Complete,5,1,0.08335121799999999,6,2,0
Minorminer,Zephyr,Complete,5,2,0.07927947399999999,6,2,0
Minorminer,Zephyr,Complete,10,0,0.150342904,17,2,0
Minorminer,Zephyr,Complete,10,1,0.15121535600000002,17,2,0
Minorminer,Zephyr,Complete,10,2,0.149686062,18,2,0
Minorminer,Zephyr,Complete,15,0,0.31734567000000014,29,3,0
Minorminer,Zephyr,Complete,15,1,0.3160627979999999,29,3,0
Minorminer,Zephyr,Complete,15,2,0.3291576949999999,34,3,0
Minorminer,Zephyr,Complete,20,0,0.7184815649999998,50,3,0
Minorminer,Zephyr,Complete,20,1,0.758723475,49,3,0
Minorminer,Zephyr,Complete,20,2,0.747534623,49,3,0
Minorminer,Zephyr,Complete,25,0,2.012625076,67,3,0
Minorminer,Zephyr,Complete,25,1,1.1293408080000003,68,3,0
Minorminer,Zephyr,Complete,25,2,1.697731343,68,3,0
Minorminer,Zephyr,Complete,30,0,2.1714934049999997,98,4,0
Minorminer,Zephyr,Complete,30,1,5.172618041999998,102,4,0
Minorminer,Zephyr,Complete,55,0,17.506266803000003,330,9,0
Minorminer,Zephyr,Complete,30,2,2.9985526099999973,97,4,0
Minorminer,Zephyr,Complete,35,0,5.695505366999999,131,5,0
Minorminer,Zephyr,Complete,35,1,4.180622806999999,132,5,0
Minorminer,Zephyr,Complete,35,2,4.164037692000001,145,6,0
Minorminer,Zephyr,Complete,40,0,4.005107760999998,195,7,0
Minorminer,Zephyr,Complete,55,1,25.450043531000002,312,8,0
Minorminer,Zephyr,Complete,40,1,9.581730227999998,177,6,0
Minorminer,Zephyr,Complete,40,2,8.511114752000005,176,6,0
Minorminer,Zephyr,Complete,55,2,14.103721252999996,362,9,0
Minorminer,Zephyr,Complete,45,0,9.454714826999997,226,7,0
Minorminer,Zephyr,Complete,45,1,21.547299545,208,6,0
Minorminer,Zephyr,Complete,60,0,33.29884574599999,401,10,0
Minorminer,Zephyr,Complete,45,2,17.852332152000002,205,6,0
Minorminer,Zephyr,Complete,60,1,29.696584011,381,9,0
Minorminer,Zephyr,Complete,50,0,27.36150417399999,258,7,0
Minorminer,Zephyr,Complete,50,1,31.444961906999993,264,8,0
Minorminer,Zephyr,Complete,60,2,46.25808576700001,372,9,0
Minorminer,Zephyr,Complete,50,2,39.007148425,259,7,0
Minorminer,Zephyr,Complete,65,0,37.14738010400001,476,11,0
Minorminer,Zephyr,Complete,65,1,70.02280274900002,460,10,0
Minorminer,Zephyr,Complete,65,2,31.511659621000035,464,11,0
Minorminer,Zephyr,Complete,70,0,104.69372745800001,535,12,0
Minorminer,Zephyr,Complete,70,1,61.352686242000004,496,10,0
Minorminer,Zephyr,Complete,70,2,47.359631729,573,13,0
Minorminer,Zephyr,Complete,75,0,50.94538160100001,602,11,0
Minorminer,Zephyr,Complete,110,0,628.784380903,1148,14,0
Minorminer,Zephyr,Complete,75,1,59.38206810600002,612,12,0
Minorminer,Zephyr,Complete,75,2,86.42115023099996,663,13,0
Minorminer,Zephyr,Complete,110,1,178.27737205999995,1318,20,0
Minorminer,Zephyr,Complete,80,0,97.96560410100005,654,12,0
Minorminer,Zephyr,Complete,80,1,139.280730629,696,12,0
Minorminer,Zephyr,Complete,110,2,204.928076337,1261,18,0
Minorminer,Zephyr,Complete,80,2,77.96423099200001,684,13,0
Minorminer,Zephyr,Complete,85,0,85.17494759199985,769,13,0
Minorminer,Zephyr,Complete,85,1,75.51483160600014,839,15,0
Minorminer,Zephyr,Complete,165,0,1004.3620832890001,3119,32,0
Minorminer,Zephyr,Complete,85,2,97.94612555800018,705,12,0
Minorminer,Zephyr,Complete,90,0,158.49086327300006,852,14,0
Minorminer,Zephyr,Complete,115,0,553.2416880369999,1380,18,0
Minorminer,Zephyr,Complete,90,1,123.3103680029999,814,13,0
Minorminer,Zephyr,Complete,90,2,232.37633274899986,815,14,0
Minorminer,Zephyr,Complete,115,1,329.48539906099995,1391,16,0
Minorminer,Zephyr,Complete,165,1,742.2008698730001,3437,34,0
Minorminer,Zephyr,Complete,95,0,264.7971459529997,938,15,0
Minorminer,Zephyr,Complete,95,1,159.81273954100016,921,15,0
Minorminer,Zephyr,Complete,115,2,579.613069557,1447,19,0
Minorminer,Zephyr,Complete,95,2,404.79251099700014,911,14,0
Minorminer,Zephyr,Complete,120,0,278.985594234,1658,22,0
Minorminer,Zephyr,Complete,165,2,1011.4101827410002,3168,31,0
Minorminer,Zephyr,Complete,100,0,496.39154384099993,1068,16,0
Minorminer,Zephyr,Complete,120,1,554.389748952,1478,17,0
Minorminer,Zephyr,Complete,100,1,398.9634319480001,1008,15,0
Minorminer,Zephyr,Complete,120,2,270.93820774200003,1670,22,0
Minorminer,Zephyr,Complete,100,2,151.65727494300017,1004,16,0
Minorminer,Zephyr,Complete,105,0,151.14503972700004,1232,17,0
